Date,AAPL,MSFT,SPY,aapl_ret,msft_ret,spy_ret
19-08-2015,25.77277184,40.35923767,174.1313324,-0.012872126,-0.014060512,-0.007937224
20-08-2015,25.24392509,39.53663254,170.4952087,-0.020733043,-0.020592659,-0.021102604
21-08-2015,23.69992638,37.29397202,165.3629303,-0.063113594,-0.058395943,-0.030564559
24-08-2015,23.10832787,36.09038925,158.4000092,-0.025278875,-0.032805101,-0.043019098
25-08-2015,23.24726105,35.04265976,156.535965,0.005994254,-0.029460435,-0.011837746
26-08-2015,24.58061028,36.98225784,162.54599,0.055770611,0.05387211,0.037675185
27-08-2015,25.30441856,38.01266861,166.5665436,0.029021095,0.027481209,0.024433914
28-08-2015,25.38733673,38.0386467,166.5749207,0.003271469,0.000683173,5.03E-05
31-08-2015,25.26856804,37.68361664,165.2291412,-0.004689242,-0.009377233,-0.008111937
01-09-2015,24.1391468,36.21162033,160.2974548,-0.045726382,-0.039845357,-0.030302063
02-09-2015,25.17444038,37.54507446,163.3400421,0.041994338,0.036162126,0.018802994
03-09-2015,24.73299026,37.66630173,163.4571381,-0.017691219,0.003223645,0.000716628
04-09-2015,24.48648453,36.89564896,160.9828796,-0.010016677,-0.020672212,-0.015252782
08-09-2015,25.16772079,38.00400162,165.0285645,0.027440939,0.02959783,0.024820556
09-09-2015,24.68368149,37.29397202,162.8217926,-0.019419896,-0.018859754,-0.013462271
10-09-2015,25.2259903,37.48446655,163.7078552,0.021732467,0.005094916,0.005427163
11-09-2015,25.59350777,37.64899063,164.4518127,0.014463892,0.004379523,0.004534127
14-09-2015,25.84000397,37.26800919,163.8415833,0.009585116,-0.010170848,-0.00371759
15-09-2015,26.05737305,38.08193588,165.8895111,0.00837693,0.02160475,0.012421965
16-09-2015,26.08650398,38.35902786,167.3272095,0.001117329,0.007249861,0.008629263
17-09-2015,25.52851486,38.3157196,166.9510803,-0.021622034,-0.001129662,-0.002250397
18-09-2015,25.42319107,37.64899063,164.2228241,-0.004134266,-0.017554101,-0.016476648
21-09-2015,25.81759262,38.19451523,165.0714722,0.015394352,0.01438578,0.005154356
22-09-2015,25.41198921,38.01266861,162.9289093,-0.015835065,-0.004772436,-0.013064579
23-09-2015,25.6181488,37.98667908,162.6684418,0.008079959,-0.000683941,-0.001599937
24-09-2015,25.77052689,38.02132797,162.0802765,0.005930433,0.000911717,-0.003622283
25-09-2015,25.70554924,38.04730225,162.0382385,-0.002524578,0.000682917,-0.000259399
28-09-2015,25.19685364,37.48446655,157.9715576,-0.019987761,-0.01490356,-0.025417346
29-09-2015,24.43942833,37.61436081,158.0639648,-0.030521388,0.003459292,0.00058479
30-09-2015,24.71730042,38.32440186,161.0132294,0.011305677,0.018700904,0.01848674
01-10-2015,24.55595398,38.62744522,161.4332886,-0.006549071,0.007876222,0.002605452
02-10-2015,24.73522949,39.45870972,163.8447418,0.007274173,0.021291762,0.014827299
05-10-2015,24.82486725,40.37654495,166.7604065,0.00361734,0.022994244,0.017638808
06-10-2015,24.94363403,40.48046875,166.1889801,0.004772778,0.002570559,-0.003432515
07-10-2015,24.82486725,40.52374649,167.5502167,-0.004772778,0.001068531,0.008157532
08-10-2015,24.53802681,41.08658981,169.0626373,-0.011621834,0.013793651,0.008986174
09-10-2015,25.12513924,40.79217529,169.1633911,0.023644879,-0.007191505,0.000595778
12-10-2015,25.00862122,40.69692993,169.3230438,-0.004648294,-0.002337623,0.000943333
13-10-2015,25.05120087,40.60168076,168.2559662,0.001701151,-0.002343194,-0.006321964
14-10-2015,24.69713593,40.4198494,167.4493256,-0.014234483,-0.004488478,-0.004805656
15-10-2015,25.06688309,40.70558167,170.0204315,0.014860294,0.007044239,0.015237843
16-10-2015,24.88312912,41.13853073,170.793457,-0.007357548,0.010579945,0.004536358
19-10-2015,25.03775024,41.23379135,170.8774567,0.006194667,0.002312929,0.000491699
20-10-2015,25.49490166,41.36366653,170.6590576,0.018093802,0.003144777,-0.001278921
21-10-2015,25.49266052,40.87011719,169.6003876,-8.79E-05,-0.01200371,-0.006222742
22-10-2015,25.88258362,41.58879471,172.4654999,0.015179707,0.017431608,0.016752207
23-10-2015,26.6848278,45.77970505,174.3560181,0.030524861,0.096010099,0.010902074
26-10-2015,25.83327675,46.97464371,173.927536,-0.032431699,0.025767089,-0.002460537
27-10-2015,25.6696949,46.48974991,173.5914154,-0.006352348,-0.010376104,-0.001934402
28-10-2015,26.72740555,46.74085617,175.565979,0.040378355,0.00538679,0.01131057
29-10-2015,27.00975418,46.20401001,175.4651184,0.010508603,-0.011552056,-0.000574653
30-10-2015,26.7789402,45.58055878,174.7089081,-0.008582302,-0.013585308,-0.004319061
02-11-2015,27.15541649,46.10009766,176.7758484,0.013960764,0.011333785,0.01176133
03-11-2015,27.46690369,46.88806152,177.2884674,0.011405249,0.016948023,0.002895628
