Date,AAPL_RESID,MSFT_RESID,SPY_RESID
19-09-2017,-0.000610542,0.003714817,0.000860372
20-09-2017,-0.018444161,-0.008533571,-0.000449391
21-09-2017,-0.018074218,-0.010176815,-0.002912161
22-09-2017,-0.012951031,-0.001060453,-0.000809077
25-09-2017,-0.009520383,-0.015349458,-0.002285074
26-09-2017,0.013422754,-0.004524565,-0.000200206
27-09-2017,0.00743251,0.007315054,0.003418173
28-09-2017,-0.008166875,-0.000492865,0.001187204
29-09-2017,0.005196277,0.00715699,0.002601586
02-10-2017,-0.00218448,0.00199529,0.004463918
03-10-2017,0.003153085,-0.005231102,0.001562828
04-10-2017,-0.007412108,0.004155588,0.000873143
05-10-2017,0.011554079,0.017036921,0.005388655
06-10-2017,-0.001356596,0.001190462,-0.001201827
09-10-2017,0.002932535,0.003334376,-0.002431511
10-10-2017,-0.000920801,-0.000123506,0.001889214
11-10-2017,0.004483517,0.001350061,0.001644307
12-10-2017,-0.00531585,0.007795015,-0.002429081
13-10-2017,0.006322104,0.005509227,0.000930492
16-10-2017,0.016761768,0.001314827,0.000663843
17-10-2017,0.004468584,-0.000829577,0.000465454
18-10-2017,-0.006088674,-0.000797348,0.000281909
19-10-2017,-0.023470109,0.00304851,-4.23E-05
20-10-2017,-0.000410046,0.010794084,0.004521774
23-10-2017,-0.001168497,0.000756333,-0.003946418
24-10-2017,0.003828582,-0.00035172,0.000711472
25-10-2017,-0.005726004,-0.003582329,-0.005272915
26-10-2017,0.00584876,0.000602327,0.000541172
27-10-2017,0.034120315,0.060896386,0.007395003
30-10-2017,0.023609212,0.007965226,-0.002872938
31-10-2017,0.013155981,-0.008280115,-0.000554083
01-11-2017,-0.011147204,-0.00086645,0.002069596
02-11-2017,0.007021255,0.011807644,-0.000750357
03-11-2017,0.025966681,-0.001031156,0.003002564
06-11-2017,0.010271311,0.004677969,0.001492664
07-11-2017,0.002052962,-0.004011937,-0.001667762
08-11-2017,0.009067055,0.003705639,0.001636182
09-11-2017,-0.002063668,-0.007468798,-0.00451561
10-11-2017,-0.004084992,-0.003110053,-0.000760386
13-11-2017,-0.004942821,-0.00194176,0.000123203
14-11-2017,-0.016032247,0.001440014,-0.00241126
15-11-2017,-0.015480394,-0.009954984,-0.00617316
16-11-2017,0.010426807,0.001545564,0.007930784
17-11-2017,-0.006734373,-0.011316122,-0.002769386
20-11-2017,-0.002987117,-7.12E-05,0.000662422
21-11-2017,0.017468121,0.012273734,0.006134803
22-11-2017,0.010995407,-0.005751898,-0.000496749
24-11-2017,-0.001390896,-0.001077706,0.000774757
27-11-2017,-0.004770737,0.007600671,2.84E-05
28-11-2017,-0.00658445,0.011487807,0.008793409
29-11-2017,-0.021888442,-0.017812598,0.000162744
30-11-2017,0.011550181,0.007125437,0.007657834
01-12-2017,-0.005101816,0.001133638,-0.002022368
04-12-2017,-0.009381931,-0.039000198,-0.001553219
05-12-2017,-0.002585851,-0.000725725,-0.005217105
06-12-2017,-0.003590246,0.014783499,0.000850769
07-12-2017,-0.000786757,-0.004384275,0.001122974
08-12-2017,0.000164502,0.018143183,0.006756798
11-12-2017,0.017548464,0.015183759,0.001401993
12-12-2017,-0.005205047,0.004914079,0.002436766
13-12-2017,0.001775782,-0.002720432,-0.001320332
14-12-2017,-0.000294671,-0.007887589,-0.004251816
15-12-2017,0.00962896,0.02287562,0.007293835
18-12-2017,0.012778733,-0.003165286,0.006579327
19-12-2017,-0.010192407,-0.008106383,-0.003868612
20-12-2017,-0.003042111,-0.00526543,-0.002161661
21-12-2017,0.004261605,-0.000796572,0.002503232
22-12-2017,-0.00137409,-0.002447954,-0.001421335
26-12-2017,-0.026926359,-0.001640337,-0.001240841
27-12-2017,-0.0017494,0.001559633,-0.0004943
28-12-2017,0.001951123,0.000143622,0.001811607
29-12-2017,-0.012451372,-0.003664316,-0.004198344
02-01-2018,0.015139478,0.003908062,0.006087161
03-01-2018,0.000778451,0.00393819,0.00677013
04-01-2018,0.002623207,0.008509569,0.003754726
05-01-2018,0.011183036,0.012292797,0.006267688
08-01-2018,-0.003451631,0.00219603,0.002019587
09-01-2018,-0.001759455,-0.001340518,0.001294547
10-01-2018,-0.000140853,-0.004975513,-0.0014998
11-01-2018,0.004474127,0.001446877,0.006256286
12-01-2018,0.009507956,0.01620827,0.006817101
16-01-2018,-0.005532224,-0.012941059,-0.003628505
17-01-2018,0.015258381,0.017432434,0.00815997
18-01-2018,0.001307798,0.001234959,-0.000672342
19-01-2018,-0.00536067,-0.00140816,0.002948882
22-01-2018,-0.009340161,0.015644087,0.008359084
23-01-2018,-3.30E-06,0.006204256,0.00230475
24-01-2018,-0.0180042,-0.002778108,-0.001646309
25-01-2018,-0.019404736,0.006007182,0.000735848
26-01-2018,-0.000289632,0.017937949,0.010149907
