Date,AAPL,MSFT,SPY
04-11-2015,27.33917427,47.10453033,176.7506866
05-11-2015,27.21314049,47.08720398,176.5742645
06-11-2015,27.24464798,47.55478287,176.4817963
09-11-2015,27.13438034,46.89672852,174.8349457
10-11-2015,26.27918625,46.33387375,175.238327
11-11-2015,26.13065147,46.45511627,174.5492706
12-11-2015,26.0428772,46.16936493,172.1125793
13-11-2015,25.28220367,45.75374985,170.1800842
16-11-2015,25.69630241,46.55902481,172.7679901
17-11-2015,25.58602905,46.17546082,172.6419678
18-11-2015,26.39620781,46.94257355,175.381073
19-11-2015,26.73153114,47.02102661,175.2298584
20-11-2015,26.84855843,47.2389679,175.8684387
23-11-2015,26.49973679,47.2389679,175.6667633
24-11-2015,26.75403976,47.29128647,175.9020538
25-11-2015,26.56274223,46.80309296,175.8768463
27-11-2015,26.51323891,47.01232529,176.0784607
30-11-2015,26.62351418,47.37844849,175.3474731
01-12-2015,26.40746498,48.13684082,177.0195465
02-12-2015,26.16890717,48.1281395,175.2130737
03-12-2015,25.92585373,47.24768829,172.7595978
04-12-2015,26.78780174,48.73834991,176.1289368
07-12-2015,26.61901665,48.65118027,175.0617981
08-12-2015,26.60775948,48.63374329,173.8855133
09-12-2015,26.0203743,47.92764664,172.5327301
10-12-2015,26.14415741,48.18043518,172.9781036
11-12-2015,25.47125244,47.12565231,169.6255341
14-12-2015,25.31371117,48.06710815,170.4825439
15-12-2015,24.86586189,48.11942291,172.2722626
16-12-2015,25.05714798,48.93013382,174.7929382
17-12-2015,24.52603531,48.55529785,172.1294403
18-12-2015,23.86214066,47.18665695,169.062912
21-12-2015,24.15470314,47.79688644,170.457489
22-12-2015,24.13220215,48.25017548,172.004303
23-12-2015,24.4427681,48.65988159,174.1342773
24-12-2015,24.31224442,48.5291214,173.8469696
28-12-2015,24.03992844,48.77321243,173.4496918
29-12-2015,24.47202682,49.29624176,175.300766
30-12-2015,24.15245438,49.08703613,174.0582428
31-12-2015,23.68884659,48.36350632,172.3170471
04-01-2016,23.70910645,47.77072144,169.9081879
05-01-2016,23.11497688,47.98865128,170.1955414
06-01-2016,22.66261673,47.11692429,168.0486755
07-01-2016,21.70615196,45.47806549,164.0169067
08-01-2016,21.82092857,45.61756134,162.2165222
11-01-2016,22.17425728,45.59141159,162.3771515
12-01-2016,22.49608612,46.0098381,163.6872559
13-01-2016,21.91769409,45.01605988,159.6048126
14-01-2016,22.39704895,46.29750824,162.2250061
15-01-2016,21.85918427,44.44943237,158.74263
19-01-2016,21.75341415,44.07460785,158.953949
20-01-2016,21.78266907,44.27510071,156.9169769
21-01-2016,21.6723938,44.00486374,157.7959747
22-01-2016,22.82464409,45.58269119,161.0332184
25-01-2016,22.37906075,45.14681244,158.5989532
26-01-2016,22.50283051,45.47806549,160.7627716
27-01-2016,21.02425003,44.64993286,159.0131531
28-01-2016,21.17502975,45.3821907,159.8414764
29-01-2016,21.90645218,48.02352142,163.7379761
01-02-2016,21.70164871,47.69226456,163.678833
02-02-2016,21.26280975,46.20160675,160.7289581
03-02-2016,21.68364716,45.46936035,161.6925507
04-02-2016,21.85787582,45.32988358,161.9460602
05-02-2016,21.27408981,43.72589874,158.8609772
08-02-2016,21.49809647,43.07210922,156.7225647
09-02-2016,21.49357796,42.95877075,156.7309723
10-02-2016,21.33065987,43.33361435,156.5957947
11-02-2016,21.20169067,43.31618881,154.5587769
12-02-2016,21.26730347,44.02228928,157.7453003
16-02-2016,21.86692619,44.85638046,160.4077301
17-02-2016,22.20180702,46.02409363,163.0279694
18-02-2016,21.78094292,45.82216263,162.36026
19-02-2016,21.73116493,45.49731064,162.2842102
22-02-2016,21.92123413,46.22603607,164.6339417
23-02-2016,21.42569542,44.9353981,162.5546722
24-02-2016,21.74473572,45.09343338,163.2984619
25-02-2016,21.89408112,45.74314117,165.2762756
26-02-2016,21.92802048,45.04075241,164.8959351
29-02-2016,21.87824059,44.67200851,163.6027374
01-03-2016,22.7471199,46.1645813,167.4485474
02-03-2016,22.79690742,46.4894371,168.2007904
03-03-2016,22.96661186,45.96264267,168.8600769
04-03-2016,23.30827904,45.68169403,169.4094543
07-03-2016,23.05032349,44.80371094,169.5446777
08-03-2016,22.8602562,45.34804153,167.693634
09-03-2016,22.88063049,46.39286423,168.5219879
10-03-2016,22.89193153,45.69924164,168.6571808
11-03-2016,23.1385746,46.59477997,171.3789063
14-03-2016,23.19740295,46.68257904,171.1591187
15-03-2016,23.66353226,47.05134201,170.8801422
16-03-2016,23.97804451,47.7186203,171.8691254
17-03-2016,23.93957901,47.99080276,172.9594116
18-03-2016,23.96672821,46.96355057,173.6391144
21-03-2016,23.96446991,47.28840637,173.8854675
22-03-2016,24.14774895,47.47278976,173.7920227
23-03-2016,24.01424217,47.38499451,172.6450958
24-03-2016,23.91016579,47.5956955,172.568634
28-03-2016,23.80154991,47.0074501,172.6705933
29-03-2016,24.36496544,48.03469086,174.2677612
30-03-2016,24.79035568,48.33320236,175.0324097
31-03-2016,24.66138458,48.49123383,174.6075897
01-04-2016,24.88765526,48.78975296,175.7970734
04-04-2016,25.14333916,48.66684341,175.2278442
05-04-2016,24.84692955,47.90300751,173.4776917
06-04-2016,25.10714149,48.39466095,175.3722839
07-04-2016,24.55955887,47.81519699,173.2737579
08-04-2016,24.58671379,47.78007126,173.7410583
11-04-2016,24.66816902,47.68349075,173.3332367
