Date,AAPL,MSFT,SPY,aapl_ret,msft_ret,spy_ret,roll_mean_aapl,roll_mean_msft,roll_mean_spy,roll_var_aapl,roll_var_msft,roll_var_spy,corr_aapl_msft,corr_aapl_spy,corr_msft_spy
03-01-2018,40.26005936,79.06616211,238.0584412,-0.000174327,0.004642947,0.006305041,0.00032737,0.001166741,0.001312837,0.000100718,0.000156984,1.43E-05,0.32567934,0.637856704,0.47016633
04-01-2018,40.44706345,79.76206207,239.0618591,0.004634149,0.008762982,0.004206148,0.000897314,0.003415965,0.001570777,9.84E-05,7.60E-05,1.43E-05,0.301351594,0.6314695,0.538217892
05-01-2018,40.90758133,80.75098419,240.6549225,0.011321365,0.012322171,0.006641707,0.001481307,0.00370415,0.002058633,0.000103275,7.95E-05,1.40E-05,0.339798015,0.672021124,0.617373252
08-01-2018,40.75564194,80.83335876,241.0950165,-0.003721126,0.001019586,0.001827065,0.001481302,0.003063192,0.002136582,0.000103275,7.36E-05,1.38E-05,0.393264261,0.665071638,0.679843807
09-01-2018,40.75094604,80.77844238,241.6407776,-0.000115227,-0.000679609,0.002261118,0.001388534,0.003197937,0.002094357,0.000103387,7.21E-05,1.38E-05,0.402009578,0.66512588,0.698070801
10-01-2018,40.74160385,80.41216278,241.2709961,-0.000229277,-0.004544685,-0.001531466,0.001363579,0.002027117,0.00176245,0.000103457,5.95E-05,1.38E-05,0.461814034,0.677713062,0.705448941
11-01-2018,40.97301483,80.65024567,243.0314789,0.005663897,0.002956408,0.007270211,0.000714384,0.001566291,0.001965403,8.79E-05,5.37E-05,1.52E-05,0.387385319,0.706365102,0.696840406
12-01-2018,41.39612961,82.04202271,244.6156616,0.010273714,0.017109737,0.006497273,0.001471871,0.002185889,0.002190833,8.98E-05,6.50E-05,1.61E-05,0.449371143,0.727795976,0.718733103
16-01-2018,41.18574905,80.89746857,243.779541,-0.005095089,-0.014049055,-0.003423954,0.001071447,0.00164503,0.002033147,9.16E-05,7.67E-05,1.74E-05,0.475843803,0.743250486,0.743752349
17-01-2018,41.86597061,82.53646088,246.1031036,0.01638104,0.020057613,0.009486272,0.001865288,0.002969834,0.002679851,0.000102594,8.74E-05,1.79E-05,0.551738982,0.80419947,0.765688838
18-01-2018,41.90337753,82.49983215,245.6895599,0.000893093,-0.000443887,-0.001681781,0.001426412,0.001749399,0.002204855,9.90E-05,6.17E-05,1.70E-05,0.545938315,0.782421793,0.745571236
19-01-2018,41.71637344,82.40827942,246.8072968,-0.004472733,-0.001110349,0.00453907,0.000547473,0.001954929,0.002119993,9.21E-05,5.95E-05,1.64E-05,0.65140898,0.739529005,0.809758112
22-01-2018,41.37509537,83.88247681,248.8141174,-0.008214561,0.017730823,0.008098244,0.000666479,0.00310343,0.002688843,8.96E-05,6.71E-05,1.61E-05,0.470508743,0.598230722,0.817390234
23-01-2018,41.38444138,84.14802551,249.3422241,0.000225859,0.003160723,0.002120246,0.000729082,0.003426233,0.002814775,8.94E-05,6.47E-05,1.56E-05,0.471385384,0.601132939,0.810496787
24-01-2018,40.72524643,84.07476044,249.2453613,-0.016056793,-0.000871048,-0.000388549,-0.000215415,0.003395895,0.002698306,0.000102105,6.50E-05,1.61E-05,0.49102205,0.620659815,0.813888166
