Date,MSFT_vol
03-02-2017,0.012808543
06-02-2017,0.012340578
07-02-2017,0.011803253
08-02-2017,0.011466602
09-02-2017,0.011039737
10-02-2017,0.011164931
13-02-2017,0.010742856
14-02-2017,0.010931574
15-02-2017,0.010634197
16-02-2017,0.010266075
17-02-2017,0.009949383
21-02-2017,0.009665493
22-02-2017,0.009478696
23-02-2017,0.009287275
24-02-2017,0.009099267
27-02-2017,0.008899542
28-02-2017,0.009101726
01-03-2017,0.009095672
02-03-2017,0.009989562
03-03-2017,0.010798532
06-03-2017,0.010415902
07-03-2017,0.010070226
08-03-2017,0.009775193
09-03-2017,0.009811084
10-03-2017,0.009574271
13-03-2017,0.009323192
14-03-2017,0.009160075
15-03-2017,0.009231167
16-03-2017,0.00910509
17-03-2017,0.008937646
20-03-2017,0.008787092
21-03-2017,0.008624395
22-03-2017,0.009405318
23-03-2017,0.009794672
24-03-2017,0.009535013
27-03-2017,0.009285049
28-03-2017,0.009068055
29-03-2017,0.008928425
30-03-2017,0.008759735
31-03-2017,0.008699597
03-04-2017,0.008557075
04-04-2017,0.00858166
05-04-2017,0.0084477
06-04-2017,0.008386287
07-04-2017,0.008277456
10-04-2017,0.008193262
11-04-2017,0.008184595
12-04-2017,0.008135424
13-04-2017,0.00821946
17-04-2017,0.008404988
18-04-2017,0.008591592
19-04-2017,0.008473538
20-04-2017,0.008649224
21-04-2017,0.008691717
24-04-2017,0.009789552
25-04-2017,0.011200732
26-04-2017,0.011073199
27-04-2017,0.010662492
28-04-2017,0.010503588
01-05-2017,0.010199353
02-05-2017,0.010871591
03-05-2017,0.010480885
04-05-2017,0.010210459
05-05-2017,0.010059989
08-05-2017,0.009773285
09-05-2017,0.009535387
10-05-2017,0.009288848
11-05-2017,0.009105913
12-05-2017,0.009866444
15-05-2017,0.009691866
16-05-2017,0.009424445
17-05-2017,0.011191657
18-05-2017,0.01428488
19-05-2017,0.013564014
22-05-2017,0.012918935
23-05-2017,0.012883054
24-05-2017,0.012300053
25-05-2017,0.011809854
26-05-2017,0.011818926
30-05-2017,0.011619889
31-05-2017,0.011267494
01-06-2017,0.01107991
02-06-2017,0.010673212
05-06-2017,0.013100561
06-06-2017,0.012850598
07-06-2017,0.012325007
08-06-2017,0.01179947
09-06-2017,0.011522199
12-06-2017,0.014074474
13-06-2017,0.013936733
14-06-2017,0.013622953
15-06-2017,0.01309032
16-06-2017,0.012785669
19-06-2017,0.012202925
20-06-2017,0.012312443
21-06-2017,0.012668099
22-06-2017,0.012131017
23-06-2017,0.011612772
26-06-2017,0.011992771
27-06-2017,0.011999367
28-06-2017,0.013353491
29-06-2017,0.012790867
30-06-2017,0.013712584
03-07-2017,0.013048936
05-07-2017,0.013027072
06-07-2017,0.012954786
07-07-2017,0.012653291
10-07-2017,0.012788647
11-07-2017,0.012415099
12-07-2017,0.011888436
13-07-2017,0.012355142
14-07-2017,0.012522203
17-07-2017,0.012765579
18-07-2017,0.012685953
19-07-2017,0.012113802
20-07-2017,0.011881615
21-07-2017,0.011513333
24-07-2017,0.011235652
25-07-2017,0.010912334
26-07-2017,0.010797096
27-07-2017,0.010442942
28-07-2017,0.011093792
31-07-2017,0.010777626
01-08-2017,0.010586683
02-08-2017,0.010315314
03-08-2017,0.010195512
04-08-2017,0.009933938
07-08-2017,0.00983391
08-08-2017,0.00964786
09-08-2017,0.009467969
10-08-2017,0.009360571
