Date,AAPL_vol
16-06-2016,0.012245438
17-06-2016,0.011871869
20-06-2016,0.013832831
21-06-2016,0.013366486
22-06-2016,0.013073001
23-06-2016,0.012682402
24-06-2016,0.012286042
27-06-2016,0.01483157
28-06-2016,0.015294042
29-06-2016,0.015460441
30-06-2016,0.014987199
01-07-2016,0.014731293
05-07-2016,0.014163166
06-07-2016,0.013941441
07-07-2016,0.013477723
08-07-2016,0.013042543
11-07-2016,0.012737213
12-07-2016,0.012323801
13-07-2016,0.011997624
14-07-2016,0.011801365
15-07-2016,0.012947609
18-07-2016,0.012489641
19-07-2016,0.012474779
20-07-2016,0.012059523
21-07-2016,0.01169065
22-07-2016,0.011576512
25-07-2016,0.011494999
26-07-2016,0.012290041
27-07-2016,0.012130704
28-07-2016,0.022540931
29-07-2016,0.021913765
01-08-2016,0.020770174
02-08-2016,0.020591711
03-08-2016,0.019920848
04-08-2016,0.019137958
05-08-2016,0.018327893
08-08-2016,0.01798161
09-08-2016,0.017286681
10-08-2016,0.016534901
11-08-2016,0.016004586
12-08-2016,0.01528804
15-08-2016,0.014631151
16-08-2016,0.014510859
17-08-2016,0.013936247
18-08-2016,0.013401051
19-08-2016,0.012928533
22-08-2016,0.012498805
23-08-2016,0.012465035
24-08-2016,0.012076748
25-08-2016,0.01204384
26-08-2016,0.011781935
29-08-2016,0.011705316
30-08-2016,0.011373556
31-08-2016,0.011512395
01-09-2016,0.011187829
02-09-2016,0.010970714
06-09-2016,0.011093846
07-09-2016,0.010824801
08-09-2016,0.010750059
09-09-2016,0.013681223
12-09-2016,0.015275532
13-09-2016,0.015899589
14-09-2016,0.01698932
15-09-2016,0.019193875
16-09-2016,0.021437773
19-09-2016,0.020345438
20-09-2016,0.019632353
21-09-2016,0.018633856
22-09-2016,0.017711554
23-09-2016,0.017017628
26-09-2016,0.017118529
27-09-2016,0.016312922
28-09-2016,0.01557693
29-09-2016,0.015040421
30-09-2016,0.015419304
03-10-2016,0.014918372
04-10-2016,0.014408765
05-10-2016,0.013870648
06-10-2016,0.013341279
07-10-2016,0.013098534
10-10-2016,0.012628426
