"SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
189.770004272461,195.029998779297,189.119995117188,195,211003300,163.844741821289
196.460006713867,198.740005493164,196.330001831055,198.470001220703,126320800,166.760406494141
198.309997558594,198.979995727539,197,197.789993286133,110274500,166.188980102539
198.899993896484,199.830001831055,197.479995727539,199.410003662109,124307300,167.550216674805
198.949996948242,201.550003051758,198.589996337891,201.210006713867,153055200,169.062637329102
201.380004882812,201.899993896484,200.580001831055,201.330001831055,107069200,169.163391113281
201.419998168945,201.759994506836,200.910003662109,201.520004272461,56395600,169.323043823242
200.649993896484,202.160003662109,200.050003051758,200.25,88038700,168.255966186523
200.179992675781,200.869995117188,198.940002441406,199.289993286133,99106200,167.449325561523
200.080001831055,202.360000610352,199.639999389648,202.350006103516,134142200,170.020431518555
202.830001831055,203.289993286133,201.919998168945,203.270004272461,114580100,170.79345703125
202.5,203.369995117188,202.130004882812,203.369995117188,76523900,170.877456665039
202.850006103516,203.839996337891,202.550003051758,203.110000610352,78448500,170.659057617188
203.610000610352,203.789993286133,201.649993896484,201.850006103516,102038000,169.600387573242
202.979995727539,205.509994506836,201.850006103516,205.259994506836,174911700,172.46549987793
207.25,207.949996948242,206.300003051758,207.509994506836,144442300,174.356018066406
207.300003051758,207.369995117188,206.559997558594,207,69033000,173.927536010742
206.199996948242,207,205.789993286133,206.600006103516,77905800,173.591415405273
207,208.979995727539,206.210006713867,208.949996948242,135906700,175.565979003906
208.350006103516,209.270004272461,208.210006713867,208.830001831055,90525500,175.465118408203
209.059997558594,209.440002441406,207.740005493164,207.929992675781,131076900,174.708908081055
208.320007324219,210.619995117188,208.169998168945,210.389999389648,86270800,176.775848388672
209.970001220703,211.660003662109,209.699996948242,211,95246100,177.288467407227
211.350006103516,211.5,209.720001220703,210.360000610352,96224500,176.750686645508
210.429992675781,210.979995727539,209.089996337891,210.149993896484,78408700,176.574264526367
209.740005493164,210.320007324219,208.460006713867,210.039993286133,110471500,176.481796264648
209.309997558594,209.490005493164,206.949996948242,208.080001831055,131008700,174.834945678711
207.509994506836,208.600006103516,207.190002441406,208.559997558594,75874600,175.238327026367
208.880004882812,208.940002441406,207.660003662109,207.740005493164,67846000,174.549270629883
206.5,207.059997558594,204.820007324219,204.839996337891,121315200,172.112579345703
204.350006103516,204.669998168945,202.440002441406,202.539993286133,153577100,170.180084228516
202.320007324219,205.690002441406,202.179992675781,205.619995117188,117645200,172.767990112305
205.990005493164,207.039993286133,204.880004882812,205.470001220703,121123700,172.641967773438
206.039993286133,208.899993896484,205.990005493164,208.729995727539,121342500,175.381072998047
208.589996337891,209.050003051758,208.199996948242,208.550003051758,88220500,175.229858398438
209.449996948242,210.119995117188,208.860000610352,209.309997558594,94011500,175.868438720703
209.380004882812,209.979995727539,208.520004272461,209.070007324219,64931200,175.666763305664
207.869995117188,209.830001831055,207.410003662109,209.350006103516,98874400,175.902053833008
