Date,SPY_Return,SPY_V,RollingVol21,RollingSkew21,Drawdown,VolOfVol,VIX,C_t,State,Regime,Prob_Recovery,Prob_StableBull,Prob_Correction,Prob_Panic,Prob_BullRecovery
2021-05-04,-0.006188534,-0.810715854,0.00590331,0.003453706,-0.010570079,0.0005093,19.47999954,0.700041209,4,Bull Recovery,3.672930320653117e-15,7.495885067624409e-10,3.6217797310135065e-07,4.495597218994169e-08,0.9999995921171753
2021-05-05,0.000312863,-0.566473557,0.005893862,-0.017930811,-0.010260474,0.000504879,19.14999962,0.700030982,4,Bull Recovery,1.089046803104688e-14,1.5191045851965105e-09,3.004847009769264e-07,2.8412113604353987e-08,0.9999996695842674
2021-05-06,0.007953798,-0.698186024,0.006079911,-0.107268728,-0.002356896,0.00048804,18.38999939,0.718608615,4,Bull Recovery,9.356931891251134e-15,1.2525611345907678e-09,3.1660463547525885e-07,7.090097743176581e-08,0.9999996112420223
2021-05-07,0.007251459,-0.806000274,0.006172197,-0.127236248,0.0,0.000487012,16.69000053,0.71400773,4,Bull Recovery,2.97576600245153e-13,1.2587345748637356e-06,7.018706844230209e-07,6.560427374360094e-08,0.9999979737897384
2021-05-10,-0.00995143,-0.899721377,0.006511645,-0.036765039,-0.009902078,0.000467168,19.65999985,0.740558958,4,Bull Recovery,1.330697958555357e-14,4.767967135724918e-10,1.0927841423524598e-05,1.2648399536749135e-07,0.9999889451984795
2021-05-11,-0.008964916,-0.438335957,0.006848146,0.022278385,-0.018738555,0.000456959,21.84000015,0.736663903,4,Bull Recovery,3.9197439520383228e-16,2.768783685910519e-12,0.00279925047592874,1.5140276094030228e-07,0.9972005981177517
2021-05-12,-0.021474129,-0.118437791,0.008295716,-0.481040731,-0.039585652,0.000575424,27.59000015,0.782132876,2,Correction,5.0616531708792884e-20,1.8899285938842794e-29,0.7061704193221982,7.262904258865757e-05,0.29375695163462523
2021-05-13,0.01194086,0.921566378,0.008725428,-0.508437793,-0.028048735,0.000720992,23.12999916,0.804380865,2,Correction,3.331842648306477e-10,1.8470607577682562e-23,0.9590232909987862,7.541762120254913e-05,0.04090129104614314
2021-05-14,0.015238786,0.652585198,0.009058027,-0.364883067,-0.013123949,0.000869646,18.80999947,0.813446045,2,Correction,8.558876438137189e-07,1.4244365270338407e-09,0.9611676225397483,1.9957851824347857e-05,0.03881156229684494
2021-05-17,-0.002547876,0.419935853,0.009043285,-0.275028421,-0.015635187,0.000988084,19.71999931,0.815930606,2,Correction,3.0810108330861374e-06,1.267588260693452e-05,0.939416874415866,1.5572238846422914e-05,0.06055179645252562
