Date,SPY_Return,SPY_V,RollingVol21,RollingSkew21,Drawdown,VolOfVol,VIX,C_t
20-05-2016,0.006297645,-0.214615898,0.00650646,0.288449998,-0.021941996,0.00035631,15.19999981,0.282632799
23-05-2016,-0.001363528,-0.380888014,0.006504885,0.319216849,-0.023274697,0.000362787,15.81999969,0.427292504
24-05-2016,0.0128788,-0.389087585,0.007156319,0.303021904,-0.010614297,0.0004187,14.42000008,0.488778852
25-05-2016,0.006760251,-0.524650626,0.007308264,0.221882979,-0.003903142,0.000479331,13.89999962,0.519374629
26-05-2016,0.000286558,-0.660993048,0.007294552,0.257635381,-0.003617661,0.000522323,13.43000031,0.578040461
27-05-2016,0.004290435,-0.789690248,0.007039167,0.129938765,0,0.000543556,13.11999989,0.496641402
31-05-2016,-0.001904292,-0.903422619,0.006929164,0.093647615,-0.00190248,0.000556444,14.18999958,0.467337611
01-06-2016,0.00204697,-0.985525128,0.006743766,0.169264733,0,0.000560965,14.19999981,0.473850303
02-06-2016,0.003038673,-1.083352353,0.006416552,0.084367037,0,0.000555373,13.63000011,0.531916865
03-06-2016,-0.002991318,-1.166728703,0.006305282,0.075525962,-0.002986848,0.000555279,13.47000027,0.525020185
06-06-2016,0.005075626,-1.093539128,0.006351348,-0.035532231,0,0.000548858,13.64999962,0.528125987
07-06-2016,0.001560194,-1.172339345,0.006331608,0.01038396,0,0.000502901,14.05000019,0.541405078
08-06-2016,0.003254795,-1.243754326,0.006343535,-0.044346094,0,0.000445034,14.07999992,0.539063513
09-06-2016,-0.00136687,-1.309101894,0.005854499,-0.046628349,-0.001365936,0.000452789,14.64000034,0.524042061
10-06-2016,-0.009522786,-1.332618186,0.005865386,-0.053268573,-0.010830578,0.000464504,17.03000069,0.533555073
13-06-2016,-0.007741715,-0.842965067,0.006156072,0.007565837,-0.01845888,0.000429948,20.96999931,0.658266002
14-06-2016,-0.001968696,-0.530736992,0.005818665,0.036112414,-0.020389335,0.000437717,20.5,0.672688665
15-06-2016,-0.001394993,-0.557125017,0.005448368,0.107481897,-0.021754932,0.000493633,20.13999939,0.631990471
16-06-2016,0.002979904,-0.597758299,0.00500929,0.144625643,-0.018835508,0.000585857,19.37000084,0.614170777
17-06-2016,-0.003731387,-0.725738791,0.005106152,0.215949852,-0.022489791,0.000649151,19.40999985,0.61252658
20-06-2016,0.00641945,-0.65514479,0.005165762,0.025425314,-0.016194528,0.000696593,18.37000084,0.586415601
21-06-2016,0.002834959,-0.772701403,0.0050451,0.073592521,-0.013401523,0.000743153,18.47999954,0.575963226
22-06-2016,-0.001632814,-0.883916343,0.005051548,0.079226048,-0.015011141,0.000780066,21.17000008,0.628726838
23-06-2016,0.012938588,-0.913340794,0.005058641,0.087378553,-0.002183972,0.000776437,17.25,0.558288536
24-06-2016,-0.036569534,-0.995322176,0.009469385,-2.495981825,-0.038014493,0.001049464,25.76000023,0.714090259
27-06-2016,-0.018072275,1.437217174,0.010153141,-1.996991565,-0.055243606,0.001349958,23.85000038,0.752489612
28-06-2016,0.017875265,2.122800569,0.010974939,-1.467009817,-0.038203995,0.001692007,18.75,0.785661536
29-06-2016,0.016884081,1.698905289,0.011673228,-1.259192724,-0.021827087,0.00203926,16.63999939,0.816472381
30-06-2016,0.013553349,1.333513877,0.012061372,-1.201018442,-0.008479319,0.002353175,15.63000011,0.842872886
01-07-2016,0.002098599,1.004465987,0.012051534,-1.193065573,-0.00639633,0.002599359,14.77000046,0.849537983
