Date,SPY_Return,SPY_V,RollingVol21,RollingSkew21,Drawdown,VolOfVol,VIX,C_t,State,State_0_Prob,State_1_Prob,State_2_Prob,Regime,P_t
2018-06-19,-0.0038401307298938,-0.434038574023501,0.0056883183196147,0.185908717230715,-0.0304787281658846,0.000412027093133,13.3500003814697,0.582852969854876,1,0.012703354052486376,0.9872966459442277,2.891752801360044e-12,Bull,2.891752801360044e-12
2018-06-20,0.0017047014851083,-0.244300130560615,0.0054919020979065,0.274118534602698,-0.028824574295247,0.000416057589801,12.789999961853,0.556810573265254,1,0.062112242138672,0.9378877578024372,5.824570340087953e-11,Bull,5.824570340087953e-11
2018-06-21,-0.0062886689518615,-0.328889741889546,0.0056528205507544,0.258450228989788,-0.0349128115230127,0.0004006920865367,14.6400003433228,0.573233303006004,0,0.8039796284106097,0.19602037116983997,4.2086562954265364e-10,Neutral,4.2086562954265364e-10
2018-06-22,0.001821681686839,-0.0511760765547039,0.0056379864495858,0.281937898976275,-0.0331531275601661,0.0004047873458071,13.7700004577637,0.552547175727567,0,0.9200823730271268,0.07991762382465932,3.1478058348798692e-09,Neutral,3.1478058348798692e-09
2018-06-25,-0.0137064199045769,-0.15558203274589,0.0064167438686566,-0.0896343830742093,-0.0463147314914168,0.0004123334092036,17.3299999237061,0.640999316436929,0,0.9999999315477931,2.279827276216768e-08,4.5654239642413544e-08,Neutral,4.5654239642413544e-08
2018-06-26,0.002211480630125,0.473608391737997,0.006413358467139,-0.19002467115326,-0.0442033412040183,0.0004040407227769,15.9200000762939,0.644604083414958,0,0.9999999614919951,2.829149471442784e-09,3.568031281613337e-08,Neutral,3.568031281613337e-08
2018-06-27,-0.0083189191110326,0.314055900827918,0.0061512222495173,-0.0736624203451645,-0.0521215551399584,0.0004037879074505,17.9099998474121,0.652058572755759,0,0.9999999262581722,1.3926864305349312e-12,7.373971802867026e-08,Neutral,7.373971802867026e-08
2018-06-28,0.0057016209604077,0.551858371398424,0.005544862727379,-0.510675118391898,-0.0467016751628499,0.0004076034342056,16.8500003814697,0.709256888225082,0,0.9999997498162287,1.4185372481561454e-10,2.500408263247362e-07,Neutral,2.500408263247362e-07
2018-06-29,0.0014386368105059,0.390004733600609,0.0053750372532911,-0.693002226490601,-0.0453292381188279,0.0004013860938406,16.0900001525879,0.715851396250152,0,0.9999997458471949,1.7998804445629587e-09,2.523538520160252e-07,Neutral,2.523538520160252e-07
2018-07-02,0.0021353493396967,0.239679260425714,0.0049412960813082,-1.02634776264997,-0.0432885044736268,0.0004229811632013,15.6000003814697,0.658061942837958,0,0.9999998796774962,3.08274507613724e-08,8.949524856459683e-08,Neutral,8.949524856459683e-08
